,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
150,24478,24455,ROM,V200,204000.0,120000.0,6.0,12.0,93.0,15.0,24,12.041666666666666,17.70125,4,6,13891.941,0,0,20.0,0.0,6.0,75.0,6.68960244648318,78
151,24478,24455,ROM,V218,204000.0,120000.0,6.0,12.0,93.0,15.0,24,12.041666666666666,17.70125,4,6,13891.941,0,0,20.0,0.0,6.0,75.0,6.68960244648318,79
153,24733,24736,MADMAX,V140,128440.0,52000.0,4.0,12.0,100.0,13.0,0,0.09246940244780417,0.038528917686585076,4,5,26758.3333333333,0,0,30.0,0.0,9.0,80.0,0.1259899208063355,80
154,24733,24736,MADMAX,V200,200000.0,80000.0,4.0,12.0,100.0,13.0,0,0.07999360051195904,0.033330666879982936,4,9,41666.6666666667,0,0,30.0,0.0,6.0,80.0,0.1259899208063355,81
157,24734,24736,MADMAX,V140,128440.0,52000.0,4.0,12.0,100.0,13.0,0,0.09246940244780417,0.038528917686585076,4,5,26758.3333333333,0,1,30.0,0.0,9.0,80.0,0.1259899208063355,82
158,24734,24736,MADMAX,V200,200000.0,80000.0,4.0,12.0,100.0,13.0,0,0.07999360051195904,0.033330666879982936,4,9,41666.6666666667,0,1,30.0,0.0,6.0,80.0,0.1259899208063355,83
160,25067,25063,CIN KPO,V100,60000.0,0.0,0.0,53.0,79.0,20.0,0,0.11001100110011001,0.05500550055005501,4,2,4615.38461538462,1,0,False,0.0,inf,False,0.12834616795012835,84
164,26708,26696,FUM,V100,61200.0,0.0,0.0,12.0,140.0,15.0,0,0.153,0.09333,4,1,11789.0526315789,0,0,False,0.0,inf,False,0.0875,85
165,26708,26696,FUM,V140,99400.0,0.0,0.0,12.0,140.0,15.0,0,0.2142,0.130662,4,1,16504.6736842105,0,0,False,0.0,inf,False,0.0875,86
168,26777,26773,CLI,V100,73000.0,0.0,0.0,12.0,135.0,15.0,0,0.27371578552680914,0.150087489063867,4,1,2001.41666666667,0,0,False,0.0,inf,False,0.13123359580052493,87
172,4552,4550,FUA,V100,95000.0,30000.0,3.0,23.0,115.0,15.0,0,32.06713554987212,62.691250009165394,4,1,3898.25590909091,0,0,80.0,0.0,12.0,100.0,7.4595055413469735,88
175,4552,4550,FUA,V218,206000.0,66000.0,3.0,23.0,115.0,11.0,0,34.95311167945439,68.33333334332359,4,2,8498.18181818182,0,0,60.0,0.0,5.0,100.0,7.4595055413469735,89
176,4557,4555,ARF,V100,164000.0,99000.0,9.0,8.0,154.0,20.0,0,19.218,42.79007813242884,4,2,3323.20247191011,0,0,60.0,0.0,11.0,130.0,7.368421052631579,90
177,4557,4555,ARF,V140,222170.0,144000.0,9.0,8.0,154.0,20.0,0,26.905263157894737,22.746209624258405,4,2,4652.49438202247,0,0,50.0,0.0,7.0,110.0,7.368421052631579,91
179,4557,4555,ARF,V218,357500.0,216000.0,9.0,14.0,154.0,20.0,0,27.930245614035087,62.188437510796604,4,3,7244.60359550562,0,0,50.0,0.0,5.0,90.0,7.368421052631579,92
180,4560,4558,ARO,V100,175000.0,100000.0,10.0,14.0,149.0,6.0,0,15.088571876706201,25.8055032925682,4,2,2992.5,0,0,58.0,0.0,12.0,138.0,5.486753409711346,93
181,4560,4558,ARO,V140,245000.0,150000.0,10.0,14.0,149.0,6.0,0,21.124000627388682,36.127704609595476,4,2,4189.5,0,0,48.0,0.0,8.0,118.0,5.486753409711346,94
184,4566,4564,BGF,V100,105000.0,0.0,0.0,15.0,87.0,22.0,0,16.836714285714287,26.59441016852328,4,1,6006.90516129032,0,0,False,0.0,inf,False,5.0,95
185,4566,4564,BGF,V140,105000.0,0.0,0.0,15.0,87.0,22.0,0,23.571428571428573,37.23221936589546,4,1,8409.67741935484,0,0,False,0.0,inf,False,5.0,96
188,4567,4564,BGF,V100,105000.0,0.0,0.0,15.0,87.0,22.0,0,22.52618501529052,35.59137232415902,4,1,6006.90516129032,0,1,False,0.0,inf,False,6.68960244648318,97
189,4567,4564,BGF,V140,105000.0,0.0,0.0,15.0,81.0,22.0,12,60.0,36.418359671664284,4,1,6809.37931106803,0,1,False,0.0,inf,False,12.727272727272727,98
192,4582,4580,CYT,V100,100000.0,44000.0,2.0,15.0,86.0,19.0,0,18.36667759951405,36.083513322831195,4,1,2709.18918918919,0,1,60.0,0.0,5.0,70.0,5.73958674984814,99
196,4586,4584,FRO,V100,166000.0,96000.0,8.0,13.0,97.0,7.0,8,15.560792715864324,20.529250537529897,4,2,12110.0968421053,0,0,40.0,0.0,10.0,88.0,6.248884127945883,100
197,4586,4584,FRO,V140,173000.0,136000.0,8.0,13.0,97.0,7.0,8,21.785127656164704,28.740974307145716,4,2,16954.1494736842,0,0,32.0,0.0,7.0,80.0,6.248884127945883,101
198,4586,4584,FRO,V200,344000.0,208000.0,8.0,13.0,97.0,7.0,8,22.615009224947006,29.835831552088063,4,3,26400.0,0,0,False,0.0,4.0,56.0,6.248884127945883,102
199,4586,4584,FRO,V218,344000.0,208000.0,8.0,13.0,96.0,7.0,8,27.333333333630435,23.475197562601164,4,3,20770.7788362216,0,0,False,0.0,4.0,56.0,7.798913043563032,103
202,4591,4589,GOX,V200,205000.0,50000.0,2.0,13.0,129.0,24.0,20,18.85822047006443,33.333333333333336,4,2,10399.9999988182,0,0,77.0,0.0,5.0,88.0,6.000342876838682,104
203,4591,4589,GOX,V218,205000.0,50000.0,2.0,13.0,129.0,24.0,20,18.85822047006443,33.333333333333336,4,2,10399.9999988182,0,0,77.0,0.0,5.0,88.0,6.000342876838682,105
204,4594,10244,INV,V100,80000.0,0.0,0.0,10.0,80.0,8.0,0,21.94411109243861,51.550985405312765,4,1,4540.37735607547,0,0,False,1.0,inf,False,6.000342876838682,106
206,4594,10244,INV,V200,174400.0,0.0,0.0,10.0,80.0,8.0,0,23.919081090758084,56.190574091790914,4,2,9898.02263624453,0,0,False,1.0,inf,False,6.000342876838682,107
208,4613,4611,LYX,V100,91700.0,36000.0,3.0,12.0,130.0,8.0,20,10.083361515049036,16.512202494187274,4,1,6792.97652173913,0,0,85.0,0.0,10.0,110.0,2.959080148799459,108
